Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,B,4054,57586.72061,56.76438004,1.1082166,0.025161495
NGC4593,HX,4054,57586.72123,732.132,0.611632,0.050377
NGC4593,SX,4054,57586.72123,732.132,0.946922,0.062619
NGC4593,W2,4054,57586.72232,227.7305,1.2416507,0.024845065
NGC4593,V,4054,57586.72402,56.77539998,1.26019216,0.033981397
NGC4593,M2,4054,57586.72542,177.25488,1.2092491,0.030716445
NGC4593,W1,4055,57586.89909,131.75512,1.3138524,0.02795328
NGC4593,U,4055,57586.90029,65.76722002,1.04969236,0.02389383
NGC4593,B,4055,57586.90111,65.77826005,1.1176409,0.024237655
NGC4593,HX,4055,57586.90204,809.8579584,0.573873,0.047515
NGC4593,SX,4055,57586.90204,809.8579584,0.793039,0.055861
NGC4593,W2,4055,57586.9031,264.88934,1.2732115,0.02383585
NGC4593,V,4055,57586.90506,65.77826005,1.2710905,0.03223789
NGC4593,M2,4055,57586.90659,190.6047201,1.26311035,0.030597726
NGC4593,W1,4056,57586.9687,161.7426,1.3424704,0.026120244
NGC4593,U,4056,57586.97015,80.77199996,1.0848346,0.022456927
NGC4593,B,4056,57586.97115,80.77200001,1.1481087,0.02249188
NGC4593,HX,4056,57586.97252,992.8899648,0.573822,0.037368
NGC4593,SX,4056,57586.97252,992.8899648,0.742643,0.042541
NGC4593,W2,4056,57586.97356,324.77604,1.2835482,0.022216255
NGC4593,V,4056,57586.97596,80.77198005,1.3245565,0.030483016
NGC4593,M2,4056,57586.97785,237.26292,1.2690328,0.02805319
NGC4593,W1,4057,57587.03281,160.78274,1.28407705,0.02544003
NGC4593,U,4057,57587.03425,79.77902001,1.0738316,0.022520322
NGC4593,B,4057,57587.03523,79.77904004,1.1077831,0.022153077
NGC4593,HX,4057,57587.03653,972.832032,0.664656,0.042432
NGC4593,SX,4057,57587.03653,972.832032,0.830432,0.047473
NGC4593,W2,4057,57587.03762,320.78212,1.266026,0.022115586
NGC4593,V,4057,57587.03999,79.77904004,1.3012664,0.03027142
NGC4593,M2,4057,57587.04181,225.54598,1.26752196,0.028597717
NGC4593,W1,4058,57587.09883,170.76752,1.35374584,0.025751498
NGC4593,U,4058,57587.10037,84.77693999,1.0604796,0.021833115
NGC4593,B,4058,57587.10141,84.77696002,1.1328005,0.02202683
